observer,trial,x,y,dur,n
1,1,962.6,537.4,1301,1
1,1,1139.4,624.6,157,2
1,1,1177,645.2,957,3
1,1,1194.2,642.2,928,4
1,1,428.1,2113.9,268,5
1,1,528.3,2124.6,83,6
1,2,955.8,533.6,1267,1
1,2,1179.2,559,100,2
1,2,991.1,347.6,96,3
1,2,1229.8,575.1,88,4
1,2,1217,555.5,68,5
1,2,987.8,268.6,190,6
1,2,957,268.6,1039,7
1,2,944.7,270.7,189,8
1,2,1077.7,361.3,68,9
1,2,1184.5,518.7,327,10
1,2,1037.6,208.1,104,11
1,2,959.6,283.4,862,12
1,2,933.5,368.2,119,13
1,3,962.1,544.5,1381,1
1,3,966.9,347.5,30,2
1,3,958.2,267.4,977,3
1,3,574.1,2109.6,359,4
1,3,639.8,2123.4,123,5
1,3,904.6,339.5,140,6
1,4,958.3,537.1,1293,1
1,4,1075.9,758.9,207,2
1,4,1095.5,749,354,3
1,4,1199.4,654.1,1379,4
1,4,1197.2,664.2,365,5
1,4,686.8,2129.9,31,6
1,5,954,547.2,500,1
1,5,968,538.2,132,2
1,5,950.1,543.6,372,3
1,5,956.6,789.7,1035,4
1,5,960.8,806,162,5
1,5,614.3,2059.5,120,6
1,5,730,2070.7,197,7
1,6,954.6,547,1258,1
1,6,1081.5,728.1,112,2
1,6,818.6,670.5,154,3
1,6,1097.2,747.1,200,4
1,6,748.9,648.4,321,5
1,6,728.8,663.6,347,6
1,6,642.9,2074.2,106,7
1,7,956.1,545.8,1269,1
1,7,811.5,552.7,24,2
1,7,1133.9,654.1,177,3
1,7,1185.8,657.6,1870,4
1,7,731.7,2104.5,104,5
1,8,954.3,543.9,1194,1
1,8,758.1,448.2,129,2
1,8,729.7,423.1,185,3
1,8,731.3,407.9,3103,4
1,9,952.4,540.7,1255,1
1,9,1153.7,670.6,226,2
1,9,1185.9,655.3,905,3
1,9,632.9,2132.9,21,4
1,10,951.7,544.2,1225,1
1,10,720.8,568.7,171,2
1,10,701.7,548.6,635,3
1,10,725.1,651.2,1664,4
1,10,637.1,2098.3,97,5
1,10,722.5,2143.4,232,6
1,10,858.9,1770.7,249,7
1,11,953.5,542,1232,1
1,11,1197.1,547.5,760,2
1,11,965.7,295.6,167,3
1,11,949.4,271.8,597,4
1,11,941.9,293.8,1227,5
1,12,946.6,544.6,1200,1
1,12,736,651.9,944,2
1,13,953.7,535.4,1231,1
1,13,1180.3,655.8,623,2
1,13,653.9,1795.8,146,3
1,13,698.6,1791.7,409,4
1,13,983,564.2,76,5
1,14,949,542,1205,1
1,14,698.8,543.3,382,2
1,14,1146.8,421.1,505,3
1,14,668.9,2119.1,77,4
1,14,655.6,1806.7,123,5
1,14,716.7,1782.9,189,6
1,14,707.3,2135.6,89,7
1,14,703.3,2137.4,138,8
1,15,941.1,544.4,1207,1
1,15,1180.8,564.1,184,2
1,15,1197.7,540,191,3
1,15,1086.1,417,204,4
1,15,948,262.9,3458,5
1,15,736.1,1615.1,81,6
1,15,725.1,1808.8,185,7
1,16,948.7,543,1216,1
1,16,775.8,448.3,144,2
1,16,737.7,410.6,631,3
1,16,683,1778.7,350,4
1,17,945.6,544.6,1199,1
1,17,954.9,812.8,86,2
1,17,947.9,776,839,3
1,17,752.4,1929.3,139,4
1,17,709.4,1822.7,130,5
1,17,932.6,659.9,124,6
1,17,940.9,763.2,127,7
1,18,948.6,547.8,1231,1
1,18,1062.3,509.4,118,2
1,18,1141.8,431.1,243,3
1,18,1166.3,420.3,838,4
1,18,1172.5,467.1,140,5
1,18,1167,440.9,470,6
1,19,948.8,541,1254,1
1,19,957.8,723,145,2
1,19,950.7,778.7,792,3
1,19,738.6,1848.1,158,4
1,19,687.8,1834.9,175,5
1,19,666.8,2085.1,229,6
1,19,694.7,2123.8,131,7
1,20,945.3,548.4,1193,1
1,20,742.3,657.3,899,2
1,20,698.4,2075.2,178,3
1,21,946.8,551.1,1198,1
1,21,728.3,658,780,2
1,22,943.3,551.4,1274,1
1,22,1150.6,648.2,288,2
1,22,1174.2,660.2,302,3
1,22,683.4,2059.5,125,4
1,23,944,553.6,1206,1
1,23,822.3,330.2,99,2
1,23,737.1,407.5,1658,3
